detector_id;osm_id;lanes;highway;oneway;length;score
1;3460;5;primary;True;49.08500000000001;0.007585257477969376
10;956;4;primary;True;148.501;0.0014127790091967383
100;3189;2;secondary;True;120.93199999999999;0.0022839765747468604
1005;6130;2;secondary;False;73.209;0.017635309064821306
1006;13625;1;secondary;True;10.593;0.002013769620149741
1007;803;2;tertiary;True;81.173;0.007073220939719205
101;2026;2;tertiary;False;237.352;0.011385102772595546
1010;15514;;tertiary;True;17.198999999999998;0.014252286440954125
1011;11238;3;primary;True;108.453;0.0024361167940498765
1014;1341;2;tertiary;False;133.94799999999998;0.0008932192069092677
1015;1322;3;secondary;False;100.69800000000001;0.009710506174256279
1016;14542;;secondary;True;34.526999999999994;0.002839421708488896
1018;9776;4;secondary;False;99.144;0.0010427112194006736
1027;11744;['4', '6'];primary;False;223.377;0.0004463865621686163
1028;9939;['4', '6'];primary;False;223.377;0.0015241151302077612
1029;10139;2;primary;True;79.814;0.0015196805458387512
1030;14066;3;primary;True;79.125;0.0009747120010232392
1032;15852;2;primary;True;302.734;0.00010375838924313578
1033;15551;2;primary;True;293.18399999999997;0.000827652308513924
1034;12648;2;primary;True;290.76099999999997;0.0014485172596779246
1035;9097;2;primary;True;214.25900000000001;0.0012073979267678808
1036;718;['2', '3'];primary;True;215.824;0.0011392021626061655
1037;6038;2;primary;True;243.40800000000002;0.0015673959461742187
1038;9933;2;primary;True;200.13499999999996;0.0023823586916780306
1039;6041;2;primary;True;204.18400000000003;0.0022194666604066554
1040;9931;2;primary;True;110.21700000000001;0.0009439314773056634
1041;14301;2;primary;True;77.96399999999998;0.01085019101379259
1042;8773;3;primary;True;53.549;0.003236751730128515
1044;716;3;primary;True;82.215;0.00183265161839995
1046;14919;2;primary;True;77.208;0.004781847465976512
1047;9124;2;primary;True;184.976;0.0011735496981348458
1048;8522;2;primary;True;255.433;0.0017279385827434052
1050;13160;2;primary;True;243.356;0.0006214839991252979
1051;9125;2;primary;True;139.65300000000002;0.0022417432873022645
1052;714;2;primary;True;185.848;0.0014086283946872019
1053;6044;2;primary;True;111.484;0.0008311526413456635
1054;6035;2;primary;True;119.84800000000001;0.0011824798905602407
1055;12380;2;primary;True;34.586;0.0012785317219445023
1056;12378;1;primary;True;104.011;0.0009295547398359368
1057;9935;2;primary;True;109.809;0.0020094122660673057
1058;712;2;primary;True;20.832;0.0026159619819651216
1059;9136;2;primary;True;158.077;0.0008958033201116617
1060;710;2;primary;True;560.3149999999999;0.0014679925697813406
1061;9150;2;primary;True;55.721000000000004;0.000971915632960626
1062;12379;1;primary;True;103.85199999999999;0.007365572328108368
1063;6049;2;primary;True;113.957;0.00012121553212078069
1064;6288;1;secondary;True;93.562;0.00606556483583593
1067;49;3;tertiary;False;97.25200000000001;0.008542206983945937
1068;10136;2;primary_link;True;274.909;0.0012537543610265513
1069;10137;1;primary;True;470.314;0.0002436950968168681
1070;8858;2;primary;True;491.199;0.004360065142621393
1071;9943;['2', '1'];primary_link;True;177.206;0.002767316629744547
1072;10135;4;primary;True;108.947;0.006726120677730101
1073;15245;1;tertiary;True;71.64;0.005121216229387087
1074;10134;4;primary;True;132.265;0.002856995264161008
1077;10143;4;primary_link;True;39.334999999999994;0.00133287379312551
1085;10140;3;primary;True;125.68299999999999;0.004752575243101817
11;3830;['4', '5'];primary;False;88.934;8.579635783001166e-05
110;2801;;tertiary;True;30.345;0.015187968927852558
1105;12324;;tertiary;True;29.857;0.01760683424992145
1108;14994;2;trunk_link;True;232.30399999999997;0.001564287919431813
1110;6039;2;secondary;False;16.339;0.005698369211859673
1111;12653;3;tertiary;True;64.173;0.0029684048634008474
1112;15500;2;tertiary;True;61.805;0.001772060608806437
1117;8402;2;tertiary;False;95.02399999999999;0.010711306296975979
1119;9102;1;secondary;True;122.96700000000001;0.0025256143734643023
1120;8427;1;secondary;True;207.284;0.0013192897181500704
1127;9926;2;secondary;True;15.863;0.001674738723763432
1128;15064;2;secondary;True;29.085;0.002003667081773187
1135;15903;2;tertiary;False;96.415;0.001189846266142251
1137;9928;2;secondary;True;47.47;0.00739186601148183
1149;7857;1;tertiary;True;155.269;0.023682132892571935
1150;9700;;tertiary;True;155.813;0.005828508300864032
1154;9115;3;secondary;False;202.041;0.001663771385533445
1155;9697;3;secondary;False;202.041;0.0017723475970500054
1156;6046;3;secondary;False;102.331;0.0013019760060013253
1157;9114;3;secondary;False;102.331;0.002345808987678867
1160;6744;2;tertiary;True;264.10900000000004;0.001713693455056988
1162;8766;1;tertiary;True;329.26800000000003;0.00043896901153130867
1163;8767;2;tertiary;True;122.341;0.0007836621445162747
1164;6746;;tertiary_link;True;16.229;0.004191889133895981
1165;8974;;tertiary;True;86.793;0.0032533532777985845
1166;6747;5;secondary;False;36.447;0.002576560841851245
1169;8772;3;secondary;False;140.45;0.0029359255197449487
1171;16229;3;secondary;True;34.256;0.002043607674596582
1172;6045;;secondary;True;21.025;0.012403352498427667
1173;9106;['1', '2'];tertiary;True;119.34900000000002;0.004503358407305161
1174;9121;;tertiary;True;37.18;0.013165045884714845
1175;9701;4;secondary;False;51.156000000000006;0.0014480945776717948
1176;9947;4;secondary;False;51.156000000000006;0.00075992887018638
1178;9698;['2', '3'];trunk_link;True;197.204;0.0001434327536250309
1179;8972;1;tertiary;True;56.787000000000006;0.008320609279849414
118;431;;tertiary;False;32.375;0.01098431727024337
1180;10201;;secondary;True;9.059;0.02131100655911409
1184;14168;1;primary;True;109.78800000000001;0.006686622198808697
1189;9173;2;tertiary;False;261.977;0.00019958028049213384
1191;709;;tertiary_link;False;20.023;0.0012572698090530618
1192;6047;;tertiary_link;False;20.023;0.002065365325171425
1193;9580;1;tertiary;True;40.212;0.002889235673031629
12;4210;;tertiary;True;88.223;0.008099028527499007
1201;13314;2;primary;True;215.74900000000002;0.0005092765383610853
1202;5189;2;primary;True;436.632;0.00019786814064734915
1211;10625;2;primary;False;30.061;0.01082149353202675
1212;14169;1;primary;True;107.89599999999999;0.00704797267993814
1213;15495;2;primary;True;29.891;0.0011133132439742864
1218;3445;3;primary;True;194.35100000000003;0.0011280126526291062
1219;5192;2;primary;True;114.999;0.00164827175309724
1221;13098;2;secondary;True;103.87;0.009106036380587525
1222;719;2;secondary;False;16.339;0.00438382280197025
1223;9098;2;primary;True;218.732;0.00205386446692816
1224;15256;4;primary;False;140.589;0.0006704196427398032
1225;13278;2;primary;True;82.269;0.0012860709805046782
1226;9937;2;primary_link;True;20.0;0.005400179291743128
1227;16404;3;primary;True;93.89699999999999;0.00619413472409601
1228;10142;5;primary;True;138.813;0.009602071739009408
1229;13301;['2', '4'];primary;True;639.4429999999999;0.002489960319577282
1230;9041;5;primary;False;139.16500000000002;0.00812581879930164
1231;46;4;primary;False;169.659;0.010411068381237544
1232;10804;4;primary;False;54.511;0.003656771179151727
1237;15000;4;primary;False;57.861999999999995;0.007024454768259634
1238;11373;4;primary;False;57.862;0.009371206671653308
1239;11375;7;primary;False;94.33100000000002;0.0004864418190888969
1240;12816;6;primary;False;133.62099999999998;0.0015526044689698872
1245;12559;7;primary;False;94.331;0.001983415554685874
1246;12512;6;primary;False;133.621;0.0017529562441326596
1247;12558;['1', '2'];secondary;True;119.691;0.0017560191036706827
1248;11377;3;secondary;True;32.867000000000004;0.002576297079298322
1264;310;6;primary;False;32.943;0.005686848822510652
1266;12815;6;primary;False;32.943;0.0015120180877232772
1267;6923;;tertiary;True;56.702;0.0020550468141130513
1268;13170;3;secondary;True;52.889;0.0007738518151154841
1269;6909;3;secondary;True;128.457;0.0010516357337447856
1278;12783;;secondary;False;19.830000000000002;0.006979940439732423
1281;6938;;tertiary;True;56.492;0.0048618438790893935
1282;16255;1;primary;True;216.08299999999997;0.00027102147846982315
1283;10222;2;primary;True;132.214;0.0016194992840066003
1284;11277;;tertiary;True;13.079;0.007691508549502207
129;2780;2;tertiary;False;136.24200000000002;0.008121111056164757
1299;7069;2;tertiary;False;96.91;0.007178328074519371
13;413;4;primary;False;120.88799999999999;0.0021569718770399183
1300;11385;2;tertiary;True;262.452;0.002714694825621496
1301;9398;2;tertiary;True;89.84100000000001;0.0048373561889564
1302;7068;2;tertiary;False;57.123000000000005;0.0035454836018461817
1303;1634;['1', '2'];tertiary;True;292.568;0.0009163353979908674
1304;306;;tertiary;True;65.315;0.0023733781844830987
1306;1643;2;tertiary;True;88.881;0.0010526017319103095
1307;12843;2;tertiary;True;52.001;0.0011501248339415447
1308;1641;2;tertiary;True;111.893;0.0006936706687932857
1309;13175;2;tertiary;True;113.66999999999999;0.0016251720071685106
1310;15698;3;secondary;False;93.388;0.000861120218276663
1311;15700;3;secondary;False;93.38800000000002;0.001169556089791403
1312;1639;2;tertiary;True;132.438;0.0030999901677351885
1313;15528;2;tertiary;True;236.39600000000002;0.00037237245036093056
1314;5336;2;tertiary;True;235.331;0.0014031058079223813
1315;16428;5;primary;False;53.492000000000004;0.011777773211089719
1316;13174;2;tertiary;True;26.076;0.0014283566870169537
1317;9451;;tertiary;True;98.97;0.002410389949432366
1318;9460;;tertiary;True;114.22200000000001;0.0028372065034329057
1319;13183;;tertiary;True;84.038;0.0017582205891719408
1320;9453;;tertiary;True;150.511;0.0012978524600077996
1321;12846;;tertiary;True;81.952;0.0005459476988523459
1322;7061;2;tertiary;False;57.123000000000005;0.000744287889736913
1323;6074;2;tertiary;False;96.91;0.0008081996888667264
1324;12044;2;tertiary;False;49.759;0.0007847401121466905
1325;7055;2;tertiary;False;49.759;0.0005679126002497492
1326;7048;2;tertiary;False;154.08999999999997;0.0004002007251913253
1327;7047;2;tertiary;False;154.09;0.00034490714716194976
1328;5304;2;tertiary;True;252.31500000000003;0.011533014739329132
1329;15404;2;secondary;False;90.702;0.012157763374194622
1330;7044;2;tertiary;False;124.50800000000001;0.0020159784535574827
1331;12953;2;tertiary;False;124.50800000000001;0.0017409876939414083
1332;12955;2;tertiary;False;114.64599999999999;0.00040886162185552806
1333;9416;2;tertiary;False;114.64599999999999;0.0003289038488093299
1334;11370;;primary;False;41.329;0.0016311306887790214
1335;14613;;primary;False;41.329;0.0022218258128609003
1336;16220;2;primary;False;54.219;0.00026891910038621936
1337;1644;2;primary;False;57.521;0.0009291948606180303
1338;9471;3;secondary;False;110.342;0.00049668921904406
1339;6885;3;secondary;False;110.342;0.00022362935579598822
1340;307;2;primary;False;57.521;0.0008296162150875958
1341;9391;2;primary;False;41.885000000000005;0.0009046211805986189
1342;1002;2;primary;False;147.536;0.0011646801465716962
1343;15302;2;primary;False;147.536;0.0018017526274090774
1344;7016;3;secondary;False;117.142;0.0019092352137342864
1345;311;3;secondary;False;117.142;0.0011198896441653226
1346;6992;;secondary;False;139.48000000000002;0.000437104735652094
1347;7017;;secondary;False;139.48;0.00043865929300484943
1348;16154;;secondary;False;14.088999999999999;0.0008349328856840927
1349;16151;;secondary;False;14.088999999999999;0.0014592199048432432
1350;15694;2;primary;True;15.479000000000001;0.005326605810248121
1351;8873;1;secondary;True;157.03000000000003;0.000537343134658543
1352;9223;3;tertiary;False;44.935;0.014656771169848183
1353;6891;;secondary;True;122.519;0.0015133566294739482
1354;15529;;secondary;False;136.49;0.0016251334361422182
1355;1646;;secondary;False;136.49;0.002518296693937682
1358;15527;3;secondary;False;106.29999999999998;0.0013752782960918847
1359;11348;2;secondary;False;180.557;0.0006657767121594932
1360;14109;;secondary;False;12.706;0.013175531795020304
1361;6931;;tertiary;True;143.103;0.0070204798397464204
1363;12814;4;primary;False;221.07399999999998;0.0027844220891928115
1364;6953;4;primary;False;221.07399999999998;0.003400297865179198
1365;6995;4;primary;False;74.157;0.003654107673211565
1366;6936;4;primary;False;74.157;0.0029836254642271274
1367;6952;4;primary;False;113.674;0.0007526007368003312
1368;6994;4;primary;False;113.674;0.0019192112382043082
1370;7027;;tertiary;True;166.221;0.0005016039791387988
1371;6942;4;primary;False;124.82100000000001;0.0034410887076246548
1372;6943;4;primary;False;71.98400000000001;0.004825695526000861
1373;6937;4;primary;False;71.98400000000001;0.001071721582869532
1374;6933;4;primary;False;124.821;0.0007969527822809866
1375;6884;3;secondary;False;144.17600000000002;0.002298146382017912
1376;15697;3;secondary;False;144.176;0.00133288936969533
1377;10133;4;primary;False;33.669;0.0009209974463683293
1378;9439;4;primary;False;33.669;0.0005436969571778563
1379;10673;4;primary;False;78.24799999999999;0.00038413693300381525
1380;14061;4;primary;False;78.248;0.0005969561026277669
1390;10806;;tertiary;True;144.68900000000002;0.0010105547685473927
1395;15696;3;secondary;False;64.0;0.0003942675775595203
1396;15695;3;secondary;False;64.0;0.0012958959115978955
1397;3150;2;primary;False;215.52300000000002;0.00043878776368438325
1398;11360;2;primary;False;30.915;0.0010223621582216424
1399;5362;;primary;False;168.442;0.000519109209621542
14;15255;['4', '5'];primary;False;88.934;0.0010375173009104196
1400;3151;;primary;False;168.442;0.0005229096970248386
1401;7042;2;primary;False;82.827;0.0006328381722557606
1402;7041;2;primary;False;83.91999999999999;0.0007850011065475137
1403;9359;2;primary;False;124.271;0.0003859088373383663
1404;11671;2;primary;False;124.271;0.00019618666041023908
1405;16258;2;primary;False;117.22699999999999;0.0007387358185505559
1406;3158;2;primary;False;117.22699999999999;0.0010644088029421702
1407;13448;2;primary;False;243.631;0.0010555380658829395
1408;14755;2;primary;False;243.631;0.0009407457832062539
1409;9312;2;primary;False;176.65599999999998;0.00014868536025423325
1410;9280;2;primary;False;176.656;0.0004358655408079243
1411;8874;2;primary;True;11.618;0.007585283519168562
1412;9479;2;primary;True;10.568;0.0038561576124170843
1413;10490;3;tertiary;False;138.6;0.014501585297990892
1414;11536;2;secondary;True;84.149;0.000572505931494522
1415;16298;3;tertiary;False;68.97;0.010832227208437701
1416;6899;2;secondary;True;194.74099999999999;0.0017221512754783761
1417;8882;1;primary;True;106.237;0.0010892263239764958
1418;357;2;primary;False;203.858;0.004526251958842344
1419;8879;1;primary;True;208.959;0.0002283596405505652
1420;14984;2;secondary;False;91.12100000000001;0.014138131911454644
1421;14107;2;primary;True;128.118;0.004717378442800133
1422;14532;2;primary;True;74.03200000000001;0.0013885048478994016
1423;11515;2;primary;True;277.93899999999996;0.003647876231935808
1425;6907;2;primary;True;221.269;0.001902508073873888
1427;10461;2;primary;True;166.69199999999998;0.004567900787222073
1429;753;2;primary;True;126.55900000000001;0.0012701512778647696
1431;10465;2;primary;True;158.909;0.0030144056650160457
1432;14269;2;primary;True;189.537;0.005936101549442082
1433;6729;3;primary;True;15.008999999999999;0.006868428867405382
1434;13811;2;primary;True;109.39799999999998;0.010957732469107256
1435;14267;2;primary;True;422.094;0.0033955862100246894
1439;14272;2;tertiary;False;66.271;0.000934965727073698
1440;10896;2;tertiary;False;62.359;0.002579088227606637
1441;10914;2;primary;True;206.94199999999998;0.0017109319452300693
1443;14770;2;primary;True;279.582;0.0005135444221258869
1445;10912;2;primary;True;92.96699999999998;0.0017532316369099391
1447;15573;2;primary;True;120.133;0.0016131605356147806
1448;13807;2;primary;True;261.39399999999995;0.0015321303321233258
1449;10900;2;primary;True;140.787;0.002027925618344798
1450;13805;2;primary;True;84.85699999999999;0.001732065958801494
1453;6730;1;primary;True;91.82300000000001;0.001728019551340685
1454;14268;3;primary;True;19.261999999999997;0.007429664937403236
1455;8074;;tertiary;False;122.22899999999998;0.014125529855514825
1459;12809;;secondary;True;148.768;0.024525377583339714
1461;6905;2;secondary;False;369.45399999999995;0.0008672144699356265
1462;6901;2;secondary;False;369.454;0.0011473203856525024
1464;12501;;secondary;False;12.706;0.005125462038830407
1471;14543;3;secondary;False;112.34100000000001;0.005318508364161938
1472;1323;3;secondary;False;112.34100000000001;0.004178596683042886
1473;2577;4;primary;False;52.83;0.00036965017682802587
1474;2574;4;primary;False;52.83;0.00011552225322396245
1479;14111;2;primary;True;122.806;0.0032606792358688768
1480;10388;;tertiary;False;20.110999999999997;0.011846148039184838
1481;12625;2;primary;True;107.445;0.004025935347600668
1483;6829;;tertiary;True;9.031;0.012503601811580677
1497;8059;2;tertiary;False;91.58500000000001;0.004268550878723741
1498;10414;2;tertiary;False;91.58500000000001;0.004164416041221929
1499;10411;4;primary;False;57.738;0.0021293999243545136
15;14990;;tertiary;False;159.069;0.011534794311838221
1500;10407;4;primary;False;57.738;0.002553704073054793
1501;11455;4;tertiary;False;15.119;0.004162733581031929
1503;13472;2;primary;True;14.225;0.01098164120765033
1505;12423;2;primary;True;679.985;0.0008838809034633309
1507;6860;2;tertiary;False;269.1700000000001;0.008707466116340462
1508;6830;2;tertiary;True;33.387;0.006250614352316419
1513;10271;3;primary;False;188.451;0.001196483832870151
1514;14578;3;primary;False;188.451;0.0010847237765404755
1515;11847;3;primary;False;139.38600000000002;0.001159551269588932
1516;10270;3;primary;False;139.38600000000002;0.001146359255210779
1519;12808;;secondary;True;11.826;0.011255702943199978
1526;3449;2;secondary;True;47.153;0.00022445284904305606
1527;1271;2;secondary;False;72.241;0.0012508668495266242
1529;387;2;secondary;False;72.241;0.0009871910408502033
1530;747;2;tertiary;False;62.358999999999995;0.002970566997871427
1532;11240;3;primary;True;107.40799999999999;0.002750391917084167
1533;14290;1;tertiary;True;16.261;0.01654257152227348
1534;13588;3;primary;True;22.98;0.005642690772030563
1535;15965;1;primary_link;True;16.033;0.010860239921659076
1536;11137;2;primary;True;125.439;0.0006121762994375128
1538;4178;4;primary;True;107.008;0.015273399821812741
1542;1007;;secondary;False;96.408;0.0006420445068752098
1543;15403;2;secondary;False;161.31500000000003;0.006323397154378695
1547;8656;;secondary;True;105.478;0.0008115972747389913
1548;6983;3;primary;True;183.832;0.001043233273343295
1551;3448;3;primary;True;197.83899999999997;0.0013448803938052117
1554;9886;4;primary;False;147.843;0.0010823678906842144
1555;9892;4;primary;False;54.510999999999996;0.001237902036954372
1556;8654;4;primary;False;135.097;0.000886898569836148
1557;117;4;primary;False;135.097;0.0027925910958998927
1558;14319;2;primary;False;84.11500000000001;0.0026966934107491088
1559;7392;2;primary;False;84.115;0.003113959842415988
156;3450;1;secondary;True;40.900999999999996;0.0028080270441339507
1560;16493;['4', '2'];primary;False;67.131;0.001259281237829063
